TP_PROB	MIN	Q1	Q2	Q3	MAX
0.0	867993	1003321	1014157	1040946	1288938
0.01	847887	968904	979636	996126	1169520
0.02	826124	939857	950504	964902	1092174
0.03	821012	938624	949265	963407	1086872
0.04	819260	936782	947465	961537	1082472
0.05	818276	935772	946454	960544	1080448
0.06	817733	935124	945842	959949	1079238
0.07	816541	933662	944274	958271	1076881
0.08	812820	931756	942283	956129	1073875
0.09	811522	929741	940186	953942	1070856
0.1	810587	928356	938721	952380	1068884
0.11	808340	924582	934712	948188	1064740
0.12	805917	920841	930850	944229	1060454
0.13	803707	918274	928150	941450	1057361
0.14	801326	916832	926615	939846	1055285
0.15	799958	915177	924940	938057	1052826
0.16	798878	913615	923323	936431	1050750
0.17	797627	911761	921388	934425	1048129
0.18	796043	909485	919076	932000	1045628
0.19	793767	905802	915236	927980	1041364
0.2	792332	903594	912967	925554	1038874
0.21	790179	900085	909391	921833	1034666
0.22	788566	897628	906873	919213	1031426
0.23	787159	895399	904550	916838	1028339
0.24	785233	892584	901642	913809	1023959
0.25	783233	889770	898702	910738	1019933
0.26	778179	882436	891210	902902	1008441
0.27	773311	875658	884273	895659	998730
0.28	766393	866328	874792	885840	985386
0.29	760718	858518	866872	877599	974081
0.3	744860	838581	846680	856800	945717
0.31	734177	825019	832931	842690	927022
0.32	727957	817389	825184	834737	917015
0.33	726504	815280	823027	832538	914958
0.34	725720	814191	821914	831381	913759
0.35	725076	813220	820904	830374	912487
0.36	724061	811669	819354	828778	910802
0.37	722560	809534	817165	826551	908568
0.38	720878	807119	814719	824033	906036
0.39	718275	803198	810686	819862	901977
0.4	716317	800392	807802	816890	898628
0.41	714468	797819	805206	814219	895421
0.42	712187	794665	801995	810967	891020
0.43	708071	789487	796804	805592	883875
0.44	704077	784441	791715	800336	875937
0.45	702086	781775	789029	797581	872485
0.46	699834	778822	785972	794477	868649
0.47	698637	777163	784305	792740	866421
0.48	696497	774366	781484	789825	863028
0.49	695252	772711	779811	788079	860965
0.5	693188	769890	776942	785086	857691
0.51	690906	766877	773897	781980	854282
0.52	687255	762029	769018	776962	849362
0.53	683429	757168	764096	771961	843632
0.54	678005	750018	756871	764592	835033
0.55	671680	741222	747945	755429	825576
0.56	664340	731749	738369	745693	815127
0.57	655982	720841	727329	734507	804875
0.58	643793	705802	712161	719243	789211
0.59	625809	683132	689228	696199	768187
0.6	602434	653879	659677	666590	741219
0.61	575162	621917	627291	634409	712369
0.62	542481	585086	590006	597377	679634
0.63	530370	571615	576374	583800	666576
0.64	526196	566598	571346	578677	658747
0.65	522184	561928	566636	573985	653652
0.66	514240	552796	557420	564740	644482
0.67	506493	543901	548419	555691	635687
0.68	496579	532668	537088	544346	624096
0.69	489928	524846	529219	536473	615676
0.7	481553	515156	519445	526593	605422
0.71	473407	505741	509960	517037	595114
0.72	450052	480106	484027	491131	570000
0.73	437811	466286	470060	477140	555492
0.74	422409	449194	452809	459749	537087
0.75	411365	437126	440665	447505	525153
0.76	378886	401986	405148	412253	490669
0.77	368508	390750	393813	400801	478081
0.78	349421	370171	373008	380109	457275
0.79	333644	353538	356234	363392	441016
0.8	332401	352068	354768	361889	439208
0.81	328967	348228	350878	357945	434294
0.82	327404	346351	348967	356014	431864
0.83	322453	340736	343297	350212	425021
0.84	312304	330060	332588	339526	414189
0.85	297043	313787	316115	323077	396923
0.86	279530	295175	297362	304394	378626
0.87	276389	291595	293756	300751	374507
0.88	270134	284758	286917	293843	366736
0.89	267901	282066	284203	291055	363445
0.9	256758	269642	271685	278553	350540
0.91	248721	260978	262951	269506	339006
0.92	248090	260299	262263	268803	338235
0.93	247382	259474	261444	267975	337090
0.94	244300	256182	258143	264520	333100
0.95	242233	253815	255729	261813	328978
0.96	219531	229404	231175	236106	292724
0.97	213720	223469	225205	229947	285848
0.98	92198	96790	97711	103214	162370
0.99	73153	76565	77349	82153	133594
1.0	0	0	0	0	0
