tp_prob	sensitivity
0.0	0.81
0.01	0.8099904531805726
0.02	0.8098984021135478
0.03	0.809773166161281
0.04	0.8096472961029267
0.05	0.809446707210604
0.06	0.8093105153142709
0.07	0.8092629925858299
0.08	0.8092179005973906
0.09	0.8091861248367873
0.1	0.8091347622437057
0.11	0.8090889656929471
0.12	0.8090285847021776
0.13	0.8087266445202145
0.14	0.8086691170068384
0.15	0.8086547791636394
0.16	0.8086229681749201
0.17	0.8085851684064862
0.18	0.8085725215128536
0.19	0.8085624462716867
0.2	0.808538949118336
0.21	0.8085220396226712
0.22	0.808505764233094
0.23	0.8084829716420626
0.24	0.808453661849577
0.25	0.8084142063596927
0.26	0.8083968388985204
0.27	0.8083548822124023
0.28	0.8082726597897325
0.29	0.8081049387296081
0.3	0.8080393087495593
0.31	0.8079632160190682
0.32	0.8079414098152837
0.33	0.8079106908981595
0.34	0.8078972689859757
0.35	0.8078850096016187
0.36	0.8078774003285696
0.37	0.8078084589056199
0.38	0.8076472198188336
0.39	0.8074694587456582
0.4	0.8072468522808554
0.41	0.8071382439993254
0.42	0.8071279221613468
0.43	0.807087867793491
0.44	0.8070484123036066
0.45	0.8070211809699631
0.46	0.8069434677461373
0.47	0.8068446176527306
0.48	0.8067543984477362
0.49	0.8066741135714447
0.5	0.8065355613913419
0.51	0.8063715745115101
0.52	0.8061161354426248
0.53	0.8059575032364201
0.54	0.8053293507005916
0.55	0.8048720545272088
0.56	0.8046816113322848
0.57	0.804130185633035
0.58	0.80352235972012
0.59	0.8033061295443074
0.6	0.802983299089575
0.61	0.8021053792115322
0.62	0.8010382138945084
0.63	0.7999798203783605
0.64	0.7968142218774603
0.65	0.7967178729802873
0.66	0.7962478946851559
0.67	0.7958139547526599
0.68	0.7949698538659465
0.69	0.7943775987802896
0.7	0.7938828198915167
0.71	0.7915851364837243
0.72	0.7898525120560617
0.73	0.7858522538035275
0.74	0.7854630183501953
0.75	0.7853156239129844
0.76	0.7850211873197224
0.77	0.7835285368180348
0.78	0.7819784644873192
0.79	0.781763784348609
0.8	0.781586868750217
0.81	0.7809245801700153
0.82	0.780845246452855
0.83	0.7807163820046434
0.84	0.7804689749461988
0.85	0.779999595529039
0.86	0.7793724998366895
0.87	0.7786095293010508
0.88	0.7778505747706324
0.89	0.7768572123565618
0.9	0.7753511751708064
0.91	0.7710798717940132
0.92	0.7665846585121262
0.93	0.7657400996599052
0.94	0.7638335187955916
0.95	0.7588697715713281
0.96	0.7265551617061855
0.97	0.7147019927544899
0.98	0.5970454400944148
0.99	0.0
1.0	0.0
